codigo,nombre,descripcion,lista_de_valor_codigo,vigencia
10313,LASALLE,LASALLE,04,S
10314,LANA,LANA,04,S
10315,MANITOWOC,MANITOWOC,04,S
10316,MAZ,MAZ,04,S
10317,MOTOACE,MOTOACE,04,S
10318,MULLER,MULLER,04,S
10319,NYK,NYK,04,S
10321,POCLAIN,POCLAIN,04,S
10322,TCM,TCM,04,S
10323,TEMA BROSS,TEMA BROSS,04,S
10324,TEREK,TEREK,04,S
10325,VERMER,VERMER,04,S
10326,VESPINO,VESPINO,04,S
10327,WABCO,WABCO,04,S
10328,YANMAR,YANMAR,04,S
10329,WERNER,WERNER,04,S
10330,SCEPEL,SCEPEL,04,S
10331,ESSEX,ESSEX,04,S
10332,WAYNE CRAME,WAYNE CRAME,04,S
10333,PINSCH,PINSCH,04,S
10334,HAT ROAD,HAT ROAD,04,S
10335,FLORET,FLORET,04,S
10336,CLEANER,CLEANER,04,S
10337,BAUER,BAUER,04,S
10338,AMERICAN HOIST,AMERICAN HOIST,04,S
10339,AGRALE,AGRALE,04,S
10340,BRADFORD,BRADFORD,04,S
10341,CAPRIOLO,CAPRIOLO,04,S
10342,DELAHAYE,DELAHAYE,04,S
10343,FRAMBRETTA,FRAMBRETTA,04,S
10344,GOLDONI,GOLDONI,04,S
10345,IFA,IFA,04,S
10346,AJS,AJS,04,S
10347,AVELING BARFORD,AVELING BARFORD,04,S
10348,GALION,GALION,04,S
10349,MARCONI,MARCONI,04,S
10350,MARION,MARION,04,S
10351,MINARELLI,MINARELLI,04,S
10352,PATRICK,PATRICK,04,S
10353,SANTA MATILDE,SANTA MATILDE,04,S
10354,AERMACCHI,AERMACCHI,04,S
10355,ARMSTRONG,ARMSTRONG,04,S
10356,BRISA,BRISA,04,S
10357,BSA,BSA,04,S
10358,CARABELA,CARABELA,04,S
10359,CIC,CIC,04,S
10360,DLM,DLM,04,S
10361,HENRY,HENRY,04,S
10362,HOFMANN,HOFMANN,04,S
10363,RIGA,RIGA,04,S
10364,SHING JIM,SHING JIM,04,S
10365,SRP Y MORLOT,SRP Y MORLOT,04,S
10366,WINNEBAGO,WINNEBAGO,04,S
10367,AUBURN,AUBURN,04,S
10368,JOWETT,JOWETT,04,S
10369,KOEHRING,KOEHRING,04,S
10370,LUJANCAR,LUJANCAR,04,S
10371,MINERVA,MINERVA,04,S
10372,PULLMANN STANDARD,PULLMANN STANDARD,04,S
10373,RAF,RAF,04,S
10374,ROMAN,ROMAN,04,S
10375,SAVIAM,SAVIAM,04,S
10376,VAZ,VAZ,04,S
10377,BABETTA,BABETTA,04,S
10378,BIANCHI,BIANCHI,04,S
10379,KRUPP,KRUPP,04,S
10381,MERTON,MERTON,04,S
10382,ROLLS ROYCE,ROLLS ROYCE,04,S
10383,ROSEICO,ROSEICO,04,S
10384,WILLEME,WILLEME,04,S
10385,ERF,ERF,04,S
10386,FWD,FWD,04,S
10387,GREMLIM,GREMLIM,04,S
10388,MP,MP,04,S
10389,YA3,YA3,04,S
10390,OSHKOSH,OSHKOSH,04,S
10391,WHITING,WHITING,04,S
10392,PREUSSAG,PREUSSAG,04,S
10393,MATCHLESS,MATCHLESS,04,S
10394,KENNA,KENNA,04,S
10395,FEDERAL,FEDERAL,04,S
10396,BMS,BMS,04,S
10397,CHAUSSON,CHAUSSON,04,S
10398,CHECKER,CHECKER,04,S
10399,FUCHS,FUCHS,04,S
10400,BEAUFHERS,BEAUFHERS,04,S
10401,ECP,ECP,04,S
10402,TROJAN,TROJAN,04,S
10403,DANKEY,DANKEY,04,S
10404,SOLO,SOLO,04,S
10405,SEDDON,SEDDON,04,S
10406,REX,REX,04,S
10407,PROTOS,PROTOS,04,S
10408,BISCAYNE,BISCAYNE,04,S
10409,BANCANTAR,BANCANTAR,04,S
10410,GLAS,GLAS,04,S
10411,RUPP,RUPP,04,S
10412,CHICAGO,CHICAGO,04,S
10413,AUTO UNION,AUTO UNION,04,S
10414,ENGESA,ENGESA,04,S
10415,CROSLEY,CROSLEY,04,S
10416,BANTAM,BANTAM,04,S
10417,AIRSTREAM,AIRSTREAM,04,S
10418,OM,OM,04,S
10419,ALP,ALP,04,S
10420,CALIFFO,CALIFFO,04,S
10421,UNIC,UNIC,04,S
10422,PARRILLA,PARRILLA,04,S
10423,TRACMA,TRACMA,04,S
10424,TRATORENWERK,TRATORENWERK,04,S
10425,SOVIET,SOVIET,04,S
10426,MELROE,MELROE,04,S
10427,BMC,BMC,04,S
10428,GARWOOD,GARWOOD,04,S
10429,FAHR GULDIR,FAHR GULDIR,04,S
10430,LEONCLAEYS,LEONCLAEYS,04,S
10431,CICONETA,CICONETA,04,S
10433,MOKE,MOKE,04,S
10434,FIMECO,FIMECO,04,S
10435,GRAZIELLA,GRAZIELLA,04,S
10436,FAMOS,FAMOS,04,S
10437,COLCAR,COLCAR,04,S
10438,EAGLE,EAGLE,04,S
10439,FERRARI,FERRARI,04,S
10440,TARRAPLANE,TARRAPLANE,04,S
10441,OSCAR,OSCAR,04,S
10442,MINI,MINI,04,S
10443,SAURER,SAURER,04,S
10444,BEPHOBNHA,BEPHOBNHA,04,S
10445,CHANDLER,CHANDLER,04,S
10446,FAI,FAI,04,S
10447,FRONTALITO,FRONTALITO,04,S
10448,JIANGHUAI,JIANGHUAI,04,S
10449,LAGONDA,LAGONDA,04,S
10450,HANSA,HANSA,04,S
10451,FREIGHTLINER,FREIGHTLINER,04,S
10452,WAUKESHA,WAUKESHA,04,S
10453,CRIBSA,CRIBSA,04,S
10454,GOTA TRUCK,GOTA TRUCK,04,S
10455,GREYHOUND,GREYHOUND,04,S
10456,WHIPPET,WHIPPET,04,S
10457,YTASCA,YTASCA,04,S
10458,KINESWOOD,KINESWOOD,04,S
10459,COLHOMA,COLHOMA,04,S
10460,X-ACE,X-ACE,04,S
10461,TOBATTA,TOBATTA,04,S
10462,TADANO,TADANO,04,S
10463,SUPER TRIKE,SUPER TRIKE,04,S
10464,DUMPER,DUMPER,04,S
10465,AVIA,AVIA,04,S
10466,EAGLE COACHES,EAGLE COACHES,04,S
10467,LIMA,LIMA,04,S
10468,LE TOURNEAU,LE TOURNEAU,04,S
10469,MOBIL SWEEPER,MOBIL SWEEPER,04,S
10470,MOSKOVICH,MOSKOVICH,04,S
10471,PRISMO,PRISMO,04,S
10472,RAYGO,RAYGO,04,S
10473,CONTINENTAL,CONTINENTAL,04,S
10474,GLOSTER SARO,GLOSTER SARO,04,S
10475,BESSON GAB,BESSON GAB,04,S
10476,HUMSA,HUMSA,04,S
10477,SCHMIDT,SCHMIDT,04,S
10478,COMET OPERA,COMET OPERA,04,S
10479,MUSKEGS,MUSKEGS,04,S
10480,DINA,DINA,04,S
10481,CALOI,CALOI,04,S
10482,T W S,T W S,04,S
10483,HITACHI,HITACHI,04,S
10484,LORAIN,LORAIN,04,S
10485,RIXIE,RIXIE,04,S
10486,VEB,VEB,04,S
10487,YANKEE WALTER,YANKEE WALTER,04,S
10488,ZIL,ZIL,04,S
10489,HENLEY,HENLEY,04,S
10490,TAMPO,TAMPO,04,S
10491,SKIDDERS,SKIDDERS,04,S
10492,LINKBELT,LINKBELT,04,S
10493,IZH,IZH,04,S
